voltage,current,power,power_factor,frequency,hour,day_of_week,apparent_power,reactive_power_estimate,power_change,power_ratio,voltage_deviation,frequency_deviation,power_factor_deviation,night_flag,high_load_flag,condition,label
231.05,1.303,272.74,0.906,50.003,9,3,301.058,127.431,-152.26,0.642,1.05,0.003,0.044,0,0,NORMAL,0
230.74,1.373,290.59,0.917,49.967,10,3,316.806,126.37,-134.41,0.684,0.74,0.033,0.033,0,0,NORMAL,0
229.02,1.464,309.31,0.922,50.049,10,3,335.285,129.819,-115.69,0.728,0.98,0.049,0.028,0,0,NORMAL,0
229.53,1.507,326.29,0.943,50.038,10,3,345.902,115.114,-98.71,0.768,0.47,0.038,0.007,0,0,NORMAL,0
228.73,1.145,248.16,0.948,50.012,10,3,261.896,83.354,-176.84,0.584,1.27,0.012,0.002,0,0,NORMAL,0
230.97,2.907,606.45,0.903,49.987,11,3,671.43,288.473,181.45,1.427,0.97,0.013,0.047,0,0,NORMAL,0
231.31,2.106,443.56,0.91,49.993,11,3,487.139,201.972,18.56,1.044,1.31,0.007,0.04,0,0,NORMAL,0
228.67,1.375,308.25,0.98,50.048,11,3,314.421,62.569,-116.75,0.725,1.33,0.048,0.03,0,0,NORMAL,0
229.79,2.484,548.54,0.961,50.029,11,3,570.798,157.853,123.54,1.291,0.21,0.029,0.011,0,0,NORMAL,0
231.88,2.115,450.9,0.919,50.039,12,3,490.426,193.354,25.9,1.061,1.88,0.039,0.031,0,0,NORMAL,0
231.65,2.164,469.16,0.936,50.017,12,3,501.291,176.454,44.16,1.104,1.65,0.017,0.014,0,0,NORMAL,0
232.49,1.164,247.04,0.913,49.979,12,3,270.618,110.401,-177.96,0.581,2.49,0.021,0.037,0,0,NORMAL,0
231.25,1.904,410.12,0.931,49.99,12,3,440.3,160.718,-14.88,0.965,1.25,0.01,0.019,0,0,NORMAL,0
231.19,1.737,375.3,0.934,49.897,13,3,401.577,143.473,-49.7,0.883,1.19,0.103,0.016,0,0,NORMAL,0
231.08,2.668,575.83,0.934,49.952,13,3,616.521,220.266,150.83,1.355,1.08,0.048,0.016,0,0,NORMAL,0
226.2,2.886,590.51,0.905,49.925,13,3,652.813,277.714,165.51,1.389,3.8,0.075,0.045,0,0,NORMAL,0
226.97,2.429,521.79,0.946,49.9,13,3,551.31,178.716,96.79,1.228,3.03,0.1,0.004,0,0,NORMAL,0
230.07,1.614,355.53,0.957,49.931,14,3,371.333,107.719,-69.47,0.837,0.07,0.069,0.007,0,0,NORMAL,0
229.68,2.157,450.84,0.91,50.045,14,3,495.42,205.405,25.84,1.061,0.32,0.045,0.04,0,0,NORMAL,0
230.85,1.788,404.81,0.981,49.947,14,3,412.76,80.079,-20.19,0.952,0.85,0.053,0.031,0,0,NORMAL,0
233.1,1.152,252.62,0.941,50.027,14,3,268.531,90.873,-172.38,0.594,3.1,0.027,0.009,0,0,NORMAL,0
226.88,1.469,325.15,0.976,50.003,15,3,333.287,72.58,-99.85,0.765,3.12,0.003,0.026,0,0,NORMAL,0
232.33,1.81,382.49,0.91,49.953,15,3,420.517,174.35,-42.51,0.9,2.33,0.047,0.04,0,0,NORMAL,0
226.63,1.504,307.62,0.903,50.02,15,3,340.852,146.444,-117.38,0.724,3.37,0.02,0.047,0,0,NORMAL,0
226.66,1.821,397.77,0.964,50.045,15,3,412.748,109.751,-27.23,0.936,3.34,0.045,0.014,0,0,NORMAL,0
229.81,2.238,479.78,0.933,49.966,16,3,514.315,185.09,54.78,1.129,0.19,0.034,0.017,0,0,NORMAL,0
228.78,2.538,545.28,0.939,49.906,16,3,580.644,199.693,120.28,1.283,1.22,0.094,0.011,0,0,NORMAL,0
229.08,2.114,450.9,0.931,50.037,16,3,484.275,176.77,25.9,1.061,0.92,0.037,0.019,0,0,NORMAL,0
227.96,2.0,435.26,0.954,49.942,16,3,455.92,136.688,10.26,1.024,2.04,0.058,0.004,0,0,NORMAL,0
228.14,4.292,904.21,0.923,49.957,17,3,979.177,376.787,154.21,1.206,1.86,0.043,0.027,0,0,NORMAL,0
229.19,3.07,644.87,0.916,49.971,17,3,703.613,282.274,-105.13,0.86,0.81,0.029,0.034,0,0,NORMAL,0
228.62,2.851,627.85,0.963,50.025,17,3,651.796,175.66,-122.15,0.837,1.38,0.025,0.013,0,0,NORMAL,0
228.14,2.561,531.43,0.91,49.96,17,3,584.267,242.242,-218.57,0.709,1.86,0.04,0.04,0,0,NORMAL,0
229.3,3.891,852.02,0.955,50.042,18,3,892.206,264.634,102.02,1.136,0.7,0.042,0.005,0,0,NORMAL,0
230.22,2.376,521.17,0.953,50.055,18,3,547.003,165.726,-228.83,0.695,0.22,0.055,0.003,0,0,NORMAL,0
226.45,3.569,762.42,0.943,50.017,18,3,808.2,268.963,12.42,1.017,3.55,0.017,0.007,0,0,NORMAL,0
228.42,4.333,976.73,0.987,49.956,18,3,989.744,159.072,226.73,1.302,1.58,0.044,0.037,0,0,NORMAL,0
226.27,3.032,647.11,0.943,49.907,19,3,686.051,228.313,-102.89,0.863,3.73,0.093,0.007,0,0,NORMAL,0
232.24,4.255,947.47,0.959,50.052,19,3,988.181,280.057,197.47,1.263,2.24,0.052,0.009,0,0,NORMAL,0
231.76,4.239,942.53,0.959,49.946,19,3,982.431,278.427,192.53,1.257,1.76,0.054,0.009,0,0,NORMAL,0
228.38,3.585,803.74,0.982,50.011,19,3,818.742,154.645,53.74,1.072,1.62,0.011,0.032,0,0,NORMAL,0
228.66,3.998,864.09,0.945,50.005,20,3,914.183,299.002,114.09,1.152,1.34,0.005,0.005,0,0,NORMAL,0
227.69,2.601,560.4,0.946,49.987,20,3,592.222,191.979,-189.6,0.747,2.31,0.013,0.004,0,0,NORMAL,0
226.89,4.546,985.74,0.956,50.055,20,3,1031.442,302.591,235.74,1.314,3.11,0.055,0.006,0,0,NORMAL,0
229.6,3.725,798.55,0.934,49.992,20,3,855.26,305.561,48.55,1.065,0.4,0.008,0.016,0,0,NORMAL,0
227.41,3.245,710.69,0.963,50.003,21,3,737.945,198.877,-39.31,0.948,2.59,0.003,0.013,0,0,NORMAL,0
232.16,3.441,790.72,0.99,50.043,21,3,798.863,112.693,40.72,1.054,2.16,0.043,0.04,0,0,NORMAL,0
230.26,3.58,754.37,0.915,50.018,21,3,824.331,332.579,4.37,1.006,0.26,0.018,0.035,0,0,NORMAL,0
234.65,4.191,899.35,0.914,50.0,21,3,983.418,398.987,149.35,1.199,4.65,0.0,0.036,0,0,NORMAL,0
228.01,1.837,381.93,0.912,50.012,22,3,418.854,171.81,31.93,1.091,1.99,0.012,0.038,0,0,NORMAL,0
231.69,1.697,354.05,0.901,50.052,22,3,393.178,170.568,4.05,1.012,1.69,0.052,0.049,0,0,NORMAL,0
228.35,2.142,451.09,0.922,50.02,22,3,489.126,189.385,101.09,1.289,1.65,0.02,0.028,0,0,NORMAL,0
232.77,1.469,325.55,0.952,50.004,22,3,341.939,104.667,-24.45,0.93,2.77,0.004,0.002,0,0,NORMAL,0
231.6,1.568,340.96,0.939,50.054,23,3,363.149,124.893,-9.04,0.974,1.6,0.054,0.011,0,0,NORMAL,0
232.42,1.363,297.67,0.939,49.972,23,3,316.788,108.949,-52.33,0.85,2.42,0.028,0.011,0,0,NORMAL,0
231.85,0.777,176.74,0.981,49.976,23,3,180.147,34.95,-173.26,0.505,1.85,0.024,0.031,0,0,NORMAL,0
231.07,1.521,331.87,0.944,49.933,23,3,351.457,115.962,-18.13,0.948,1.07,0.067,0.006,0,0,NORMAL,0
233.15,0.452,97.99,0.93,50.053,0,4,105.384,38.735,-32.01,0.754,3.15,0.053,0.02,1,0,NORMAL,0
229.51,0.464,101.49,0.952,50.012,0,4,106.493,32.597,-28.51,0.781,0.49,0.012,0.002,1,0,NORMAL,0
232.01,0.635,133.77,0.908,49.882,0,4,147.326,61.725,3.77,1.029,2.01,0.118,0.042,1,0,NORMAL,0
230.3,0.673,146.09,0.942,50.048,0,4,154.992,52.017,16.09,1.124,0.3,0.048,0.008,1,0,NORMAL,0
230.82,0.718,161.26,0.973,49.865,1,4,165.729,38.251,31.26,1.24,0.82,0.135,0.023,1,0,NORMAL,0
225.66,0.411,88.83,0.959,50.013,1,4,92.746,26.285,-41.17,0.683,4.34,0.013,0.009,1,0,NORMAL,0
232.57,0.675,154.06,0.982,50.004,1,4,156.985,29.651,24.06,1.185,2.57,0.004,0.032,1,0,NORMAL,0
230.27,0.877,182.77,0.905,49.917,1,4,201.947,85.911,52.77,1.406,0.27,0.083,0.045,1,0,NORMAL,0
229.89,0.762,158.4,0.904,49.972,2,4,175.176,74.894,28.4,1.218,0.11,0.028,0.046,1,0,NORMAL,0
226.8,0.51,114.23,0.987,50.007,2,4,115.668,18.59,-15.77,0.879,3.2,0.007,0.037,1,0,NORMAL,0
232.0,0.779,167.65,0.928,49.974,2,4,180.728,67.336,37.65,1.29,2.0,0.026,0.022,1,0,NORMAL,0
232.48,0.714,155.25,0.935,50.043,2,4,165.991,58.868,25.25,1.194,2.48,0.043,0.015,1,0,NORMAL,0
231.24,0.332,75.11,0.978,50.021,3,4,76.772,16.015,-54.89,0.578,1.24,0.021,0.028,1,0,NORMAL,0
231.91,0.596,129.26,0.935,50.03,3,4,138.218,49.019,-0.74,0.994,1.91,0.03,0.015,1,0,NORMAL,0
228.97,0.598,123.79,0.903,49.913,3,4,136.924,58.828,-6.21,0.952,1.03,0.087,0.047,1,0,NORMAL,0
228.99,0.402,89.43,0.972,49.987,3,4,92.054,21.631,-40.57,0.688,1.01,0.013,0.022,1,0,NORMAL,0
231.41,0.657,144.6,0.951,50.05,4,4,152.036,47.008,14.6,1.112,1.41,0.05,0.001,1,0,NORMAL,0
227.35,0.547,113.38,0.912,50.003,4,4,124.36,51.011,-16.62,0.872,2.65,0.003,0.038,1,0,NORMAL,0
231.07,0.488,103.57,0.919,50.05,4,4,112.762,44.457,-26.43,0.797,1.07,0.05,0.031,1,0,NORMAL,0
228.97,0.465,101.68,0.954,50.02,4,4,106.471,31.921,-28.32,0.782,1.03,0.02,0.004,1,0,NORMAL,0
231.12,0.558,123.01,0.954,49.991,5,4,128.965,38.665,-6.99,0.946,1.12,0.009,0.004,1,0,NORMAL,0
228.21,0.576,123.83,0.942,49.996,5,4,131.449,44.116,-6.17,0.953,1.79,0.004,0.008,1,0,NORMAL,0
231.67,0.515,107.47,0.901,49.977,5,4,119.31,51.759,-22.53,0.827,1.67,0.023,0.049,1,0,NORMAL,0
233.07,0.768,167.95,0.938,49.913,5,4,178.998,62.047,37.95,1.292,3.07,0.087,0.012,1,0,NORMAL,0
231.56,2.278,516.22,0.979,50.045,6,4,527.494,107.535,16.22,1.032,1.56,0.045,0.029,0,0,NORMAL,0
227.14,3.258,673.86,0.911,50.002,6,4,740.022,305.19,173.86,1.348,2.86,0.002,0.039,0,0,NORMAL,0
226.41,1.487,313.37,0.931,49.979,6,4,336.672,122.892,-186.63,0.627,3.59,0.021,0.019,0,0,NORMAL,0
231.27,2.466,529.29,0.928,50.001,6,4,570.312,212.487,29.29,1.059,1.27,0.001,0.022,0,0,NORMAL,0
232.14,2.743,623.56,0.979,49.963,7,4,636.76,129.81,123.56,1.247,2.14,0.037,0.029,0,0,NORMAL,0
230.72,2.678,587.2,0.951,50.06,7,4,617.868,191.039,87.2,1.174,0.72,0.06,0.001,0,0,NORMAL,0
231.15,3.16,694.53,0.951,50.051,7,4,730.434,225.844,194.53,1.389,1.15,0.051,0.001,0,0,NORMAL,0
232.47,2.076,475.13,0.985,50.0,7,4,482.608,83.276,-24.87,0.95,2.47,0.0,0.035,0,0,NORMAL,0
225.67,3.0,666.7,0.985,49.91,8,4,677.01,116.821,166.7,1.333,4.33,0.09,0.035,0,0,NORMAL,0
231.03,2.327,502.63,0.935,50.099,8,4,537.607,190.661,2.63,1.005,1.03,0.099,0.015,0,0,NORMAL,0
232.6,2.038,448.33,0.946,50.047,8,4,474.039,153.668,-51.67,0.897,2.6,0.047,0.004,0,0,NORMAL,0
229.02,2.226,472.73,0.927,49.988,8,4,509.799,191.206,-27.27,0.945,0.98,0.012,0.023,0,0,NORMAL,0
227.76,1.36,305.09,0.985,50.092,9,4,309.754,53.449,-119.91,0.718,2.24,0.092,0.035,0,0,NORMAL,0
226.85,2.73,578.59,0.934,49.971,9,4,619.3,221.259,153.59,1.361,3.15,0.029,0.016,0,0,NORMAL,0
229.12,2.234,470.85,0.92,49.941,9,4,511.854,200.605,45.85,1.108,0.88,0.059,0.03,0,0,NORMAL,0
232.54,1.93,431.49,0.961,49.864,9,4,448.802,124.116,6.49,1.015,2.54,0.136,0.011,0,0,NORMAL,0
230.85,1.322,285.74,0.936,50.014,10,4,305.184,107.425,-139.26,0.672,0.85,0.014,0.014,0,0,NORMAL,0
234.81,1.484,341.42,0.98,49.998,10,4,348.458,69.342,-83.58,0.803,4.81,0.002,0.03,0,0,NORMAL,0
230.91,1.781,391.77,0.952,49.979,10,4,411.251,125.883,-33.23,0.922,0.91,0.021,0.002,0,0,NORMAL,0
230.11,1.754,374.17,0.927,49.943,10,4,403.613,151.38,-50.83,0.88,0.11,0.057,0.023,0,0,NORMAL,0
234.17,2.261,484.14,0.914,49.953,11,4,529.458,214.809,59.14,1.139,4.17,0.047,0.036,0,0,NORMAL,0
227.8,1.378,289.41,0.922,50.03,11,4,313.908,121.542,-135.59,0.681,2.2,0.03,0.028,0,0,NORMAL,0
233.89,2.183,504.0,0.987,50.078,11,4,510.582,82.061,79.0,1.186,3.89,0.078,0.037,0,0,NORMAL,0
231.3,1.661,358.57,0.933,49.997,11,4,384.189,138.261,-66.43,0.844,1.3,0.003,0.017,0,0,NORMAL,0
230.46,1.335,284.61,0.925,49.941,12,4,307.664,116.902,-140.39,0.67,0.46,0.059,0.025,0,0,NORMAL,0
228.16,2.328,483.59,0.91,49.998,12,4,531.156,220.222,58.59,1.138,1.84,0.002,0.04,0,0,NORMAL,0
232.35,1.866,391.82,0.904,50.059,12,4,433.565,185.363,-33.18,0.922,2.35,0.059,0.046,0,0,NORMAL,0
227.6,2.215,466.87,0.926,50.036,12,4,504.134,190.322,41.87,1.099,2.4,0.036,0.024,0,0,NORMAL,0
231.25,1.822,383.08,0.909,50.043,13,4,421.338,175.612,-41.92,0.901,1.25,0.043,0.041,0,0,NORMAL,0
230.47,1.145,247.37,0.937,50.171,13,4,263.888,92.184,-177.63,0.582,0.47,0.171,0.013,0,0,NORMAL,0
228.68,2.501,528.51,0.924,49.935,13,4,571.929,218.701,103.51,1.244,1.32,0.065,0.026,0,0,NORMAL,0
231.39,1.273,283.63,0.963,50.023,13,4,294.559,79.384,-141.37,0.667,1.39,0.023,0.013,0,0,NORMAL,0
231.51,2.676,570.09,0.92,49.946,14,4,619.521,242.802,145.09,1.341,1.51,0.054,0.03,0,0,NORMAL,0
231.95,1.797,377.41,0.906,49.905,14,4,416.814,176.428,-47.59,0.888,1.95,0.095,0.044,0,0,NORMAL,0
227.17,1.519,328.44,0.951,50.027,14,4,345.071,106.693,-96.56,0.773,2.83,0.027,0.001,0,0,NORMAL,0
232.09,1.185,254.27,0.924,50.022,14,4,275.027,105.168,-170.73,0.598,2.09,0.022,0.026,0,0,NORMAL,0
229.9,1.355,295.67,0.949,49.993,15,4,311.514,98.213,-129.33,0.696,0.1,0.007,0.001,0,0,NORMAL,0
229.57,2.49,542.48,0.949,49.96,15,4,571.629,180.221,117.48,1.276,0.43,0.04,0.001,0,0,NORMAL,0
230.49,1.119,255.18,0.989,50.022,15,4,257.918,38.15,-169.82,0.6,0.49,0.022,0.039,0,0,NORMAL,0
232.03,2.316,491.1,0.914,50.025,15,4,537.381,218.023,66.1,1.156,2.03,0.025,0.036,0,0,NORMAL,0
226.27,2.613,539.53,0.913,49.961,16,4,591.244,241.203,114.53,1.269,3.73,0.039,0.037,0,0,NORMAL,0
230.82,1.915,410.2,0.928,50.061,16,4,442.02,164.688,-14.8,0.965,0.82,0.061,0.022,0,0,NORMAL,0
227.48,1.684,365.4,0.954,49.921,16,4,383.076,114.849,-59.6,0.86,2.52,0.079,0.004,0,0,NORMAL,0
228.76,1.86,418.98,0.985,50.074,16,4,425.494,73.421,-6.02,0.986,1.24,0.074,0.035,0,0,NORMAL,0
229.5,3.529,794.18,0.981,49.97,17,4,809.905,157.128,44.18,1.059,0.5,0.03,0.031,0,0,NORMAL,0
231.77,2.753,595.91,0.934,50.085,17,4,638.063,227.963,-154.09,0.795,1.77,0.085,0.016,0,0,NORMAL,0
229.42,4.342,952.08,0.956,49.99,17,4,996.142,292.235,202.08,1.269,0.58,0.01,0.006,0,0,NORMAL,0
229.28,3.666,766.22,0.912,49.976,17,4,840.54,344.781,16.22,1.022,0.72,0.024,0.038,0,0,NORMAL,0
228.62,4.176,930.46,0.975,49.934,18,4,954.717,212.143,180.46,1.241,1.38,0.066,0.025,0,0,NORMAL,0
223.77,4.403,895.67,0.909,49.942,18,4,985.259,410.652,145.67,1.194,6.23,0.058,0.041,0,0,NORMAL,0
232.62,4.638,977.29,0.906,49.979,18,4,1078.892,456.671,227.29,1.303,2.62,0.021,0.044,0,0,NORMAL,0
228.2,2.768,582.02,0.921,49.885,18,4,631.658,246.07,-167.98,0.776,1.8,0.115,0.029,0,0,NORMAL,0
232.05,3.785,836.19,0.952,49.99,19,4,878.309,268.849,86.19,1.115,2.05,0.01,0.002,0,0,NORMAL,0
227.95,2.917,635.61,0.956,50.021,19,4,664.93,195.068,-114.39,0.847,2.05,0.021,0.006,0,0,NORMAL,0
226.8,3.393,755.36,0.982,50.006,19,4,769.532,145.35,5.36,1.007,3.2,0.006,0.032,0,0,NORMAL,0
229.3,3.378,753.58,0.973,50.013,19,4,774.575,178.776,3.58,1.005,0.7,0.013,0.023,0,0,NORMAL,0
229.01,3.085,671.41,0.95,49.984,20,4,706.496,220.603,-78.59,0.895,0.99,0.016,0.0,0,0,NORMAL,0
230.41,4.769,1007.6,0.917,49.997,20,4,1098.825,438.307,257.6,1.343,0.41,0.003,0.033,0,0,NORMAL,0
234.25,3.82,854.63,0.955,50.005,20,4,894.835,265.413,104.63,1.14,4.25,0.005,0.005,0,0,NORMAL,0
230.99,3.957,897.39,0.982,50.038,20,4,914.027,172.642,147.39,1.197,0.99,0.038,0.032,0,0,NORMAL,0
229.61,2.872,649.02,0.984,49.989,21,4,659.44,117.491,-100.98,0.865,0.39,0.011,0.034,0,0,NORMAL,0
230.74,2.94,625.09,0.922,49.867,21,4,678.376,262.66,-124.91,0.833,0.74,0.133,0.028,0,0,NORMAL,0
231.73,4.254,944.88,0.959,49.93,21,4,985.779,279.376,194.88,1.26,1.73,0.07,0.009,0,0,NORMAL,0
230.56,3.083,647.62,0.911,49.931,21,4,710.816,293.145,-102.38,0.863,0.56,0.069,0.039,0,0,NORMAL,0
224.51,0.932,205.58,0.982,49.963,22,4,209.243,39.522,-144.42,0.587,5.49,0.037,0.032,0,0,NORMAL,0
234.38,1.486,342.98,0.985,50.022,22,4,348.289,60.099,-7.02,0.98,4.38,0.022,0.035,0,0,NORMAL,0
229.85,1.697,374.27,0.96,49.996,22,4,390.055,109.216,24.27,1.069,0.15,0.004,0.01,0,0,NORMAL,0
230.85,1.961,435.99,0.963,49.983,22,4,452.697,122.002,85.99,1.246,0.85,0.017,0.013,0,0,NORMAL,0
227.97,1.596,327.98,0.901,49.985,23,4,363.84,157.841,-22.02,0.937,2.03,0.015,0.049,0,0,NORMAL,0
235.8,1.724,368.19,0.906,49.953,23,4,406.519,172.071,18.19,1.052,5.8,0.047,0.044,0,0,NORMAL,0
231.54,1.57,339.71,0.934,49.917,23,4,363.518,129.875,-10.29,0.971,1.54,0.083,0.016,0,0,NORMAL,0
228.99,0.951,205.38,0.944,50.099,23,4,217.769,71.852,-144.62,0.587,1.01,0.099,0.006,0,0,NORMAL,0
226.87,0.614,128.18,0.921,50.001,0,5,139.298,54.265,-1.82,0.986,3.13,0.001,0.029,1,0,NORMAL,0
233.51,0.777,163.52,0.901,49.946,0,5,181.437,78.711,33.52,1.258,3.51,0.054,0.049,1,0,NORMAL,0
231.32,0.508,109.0,0.927,50.035,0,5,117.511,44.074,-21.0,0.838,1.32,0.035,0.023,1,0,NORMAL,0
231.93,0.664,140.32,0.911,49.963,0,5,154.002,63.511,10.32,1.079,1.93,0.037,0.039,1,0,NORMAL,0
232.77,0.809,177.63,0.943,49.894,1,5,188.311,62.669,47.63,1.366,2.77,0.106,0.007,1,0,NORMAL,0
232.09,0.479,103.74,0.933,50.085,1,5,111.171,40.008,-26.26,0.798,2.09,0.085,0.017,1,0,NORMAL,0
231.69,0.581,124.02,0.921,49.94,1,5,134.612,52.44,-5.98,0.954,1.69,0.06,0.029,1,0,NORMAL,0
231.81,0.577,126.31,0.944,50.007,1,5,133.754,44.132,-3.69,0.972,1.81,0.007,0.006,1,0,NORMAL,0
230.51,0.568,126.27,0.964,50.042,2,5,130.93,34.814,-3.73,0.971,0.51,0.042,0.014,1,0,NORMAL,0
228.88,0.84,177.33,0.922,49.945,2,5,192.259,74.441,47.33,1.364,1.12,0.055,0.028,1,0,NORMAL,0
229.02,0.697,146.02,0.915,49.954,2,5,159.627,64.402,16.02,1.123,0.98,0.046,0.035,1,0,NORMAL,0
228.54,0.773,170.83,0.967,50.019,2,5,176.661,45.009,40.83,1.314,1.46,0.019,0.017,1,0,NORMAL,0
226.91,0.806,177.12,0.968,49.986,3,5,182.889,45.896,47.12,1.362,3.09,0.014,0.018,1,0,NORMAL,0
229.73,0.299,63.94,0.931,50.016,3,5,68.689,25.073,-66.06,0.492,0.27,0.016,0.019,1,0,NORMAL,0
232.63,0.754,162.32,0.925,50.076,3,5,175.403,66.647,32.32,1.249,2.63,0.076,0.025,1,0,NORMAL,0
229.31,0.492,104.23,0.925,49.967,3,5,112.821,42.868,-25.77,0.802,0.69,0.033,0.025,1,0,NORMAL,0
229.71,0.664,150.46,0.987,49.913,4,5,152.527,24.514,20.46,1.157,0.29,0.087,0.037,1,0,NORMAL,0
231.86,0.553,116.93,0.912,50.124,4,5,128.219,52.594,-13.07,0.899,1.86,0.124,0.038,1,0,NORMAL,0
228.5,0.555,118.88,0.938,49.989,4,5,126.818,43.959,-11.12,0.914,1.5,0.011,0.012,1,0,NORMAL,0
229.36,0.583,129.63,0.97,49.927,4,5,133.717,32.507,-0.37,0.997,0.64,0.073,0.02,1,0,NORMAL,0
231.47,0.468,105.43,0.973,49.986,5,5,108.328,25.003,-24.57,0.811,1.47,0.014,0.023,1,0,NORMAL,0
230.72,0.619,139.64,0.978,50.014,5,5,142.816,29.792,9.64,1.074,0.72,0.014,0.028,1,0,NORMAL,0
